,raw_risk_score,risk_percentile,intervention_tier
1717,0.9994541374570697,100.0,Tier 1: Top 10% Risk (Immediate Action)
2247,0.9992688301198864,99.87405541561712,Tier 1: Top 10% Risk (Immediate Action)
2967,0.9992673659861555,99.74811083123426,Tier 1: Top 10% Risk (Immediate Action)
928,0.9992387723999383,99.62216624685138,Tier 1: Top 10% Risk (Immediate Action)
4024,0.9989448724405958,99.49622166246851,Tier 1: Top 10% Risk (Immediate Action)
3335,0.9988711722532556,99.37027707808565,Tier 1: Top 10% Risk (Immediate Action)
2929,0.9988700564384078,99.24433249370277,Tier 1: Top 10% Risk (Immediate Action)
1961,0.9987604639400829,99.11838790931989,Tier 1: Top 10% Risk (Immediate Action)
942,0.9987047268858104,98.99244332493703,Tier 1: Top 10% Risk (Immediate Action)
1568,0.9986329431452242,98.86649874055415,Tier 1: Top 10% Risk (Immediate Action)
2678,0.9985521939970108,98.74055415617129,Tier 1: Top 10% Risk (Immediate Action)
2819,0.9984456288975454,98.61460957178842,Tier 1: Top 10% Risk (Immediate Action)
3499,0.9983719399997563,98.48866498740554,Tier 1: Top 10% Risk (Immediate Action)
64,0.998356778511801,98.36272040302268,Tier 1: Top 10% Risk (Immediate Action)
2239,0.9983565596401571,98.2367758186398,Tier 1: Top 10% Risk (Immediate Action)
3967,0.9983160802807571,98.11083123425692,Tier 1: Top 10% Risk (Immediate Action)
3720,0.9980889658189624,97.98488664987406,Tier 1: Top 10% Risk (Immediate Action)
2758,0.9978595173803312,97.85894206549118,Tier 1: Top 10% Risk (Immediate Action)
2716,0.9976049082948505,97.73299748110831,Tier 1: Top 10% Risk (Immediate Action)
1861,0.9975855656062377,97.60705289672545,Tier 1: Top 10% Risk (Immediate Action)
3515,0.9975537913188925,97.48110831234257,Tier 1: Top 10% Risk (Immediate Action)
4413,0.9970744242897225,97.35516372795969,Tier 1: Top 10% Risk (Immediate Action)
3077,0.9969709747918855,97.22921914357683,Tier 1: Top 10% Risk (Immediate Action)
4295,0.9969158497708236,97.10327455919395,Tier 1: Top 10% Risk (Immediate Action)
4381,0.9962701806518496,96.97732997481108,Tier 1: Top 10% Risk (Immediate Action)
1753,0.9961055458878509,96.85138539042822,Tier 1: Top 10% Risk (Immediate Action)
2363,0.9957540169031016,96.72544080604534,Tier 1: Top 10% Risk (Immediate Action)
142,0.9957367356501587,96.59949622166248,Tier 1: Top 10% Risk (Immediate Action)
854,0.9955639378359215,96.4735516372796,Tier 1: Top 10% Risk (Immediate Action)
763,0.9955195125655435,96.34760705289672,Tier 1: Top 10% Risk (Immediate Action)
2207,0.9954089039187491,96.22166246851386,Tier 1: Top 10% Risk (Immediate Action)
358,0.9950801850621711,96.09571788413098,Tier 1: Top 10% Risk (Immediate Action)
3689,0.9946875511631129,95.96977329974811,Tier 1: Top 10% Risk (Immediate Action)
3896,0.9943672676715093,95.84382871536525,Tier 1: Top 10% Risk (Immediate Action)
2704,0.9943192600285085,95.71788413098237,Tier 1: Top 10% Risk (Immediate Action)
1530,0.9943158742753977,95.59193954659949,Tier 1: Top 10% Risk (Immediate Action)
1769,0.9941819276906628,95.46599496221663,Tier 1: Top 10% Risk (Immediate Action)
3832,0.9939691059027447,95.34005037783375,Tier 1: Top 10% Risk (Immediate Action)
2434,0.9938215328690955,95.21410579345087,Tier 1: Top 10% Risk (Immediate Action)
1242,0.9937951003479328,95.088161209068,Tier 1: Top 10% Risk (Immediate Action)
2326,0.9933730372013039,94.96221662468514,Tier 1: Top 10% Risk (Immediate Action)
1557,0.993161408260039,94.83627204030228,Tier 1: Top 10% Risk (Immediate Action)
1248,0.993115666336205,94.7103274559194,Tier 1: Top 10% Risk (Immediate Action)
4171,0.9925458157933188,94.58438287153652,Tier 1: Top 10% Risk (Immediate Action)
2184,0.9921498465183857,94.45843828715365,Tier 1: Top 10% Risk (Immediate Action)
3590,0.9921359845514712,94.33249370277078,Tier 1: Top 10% Risk (Immediate Action)
2794,0.9921249583234046,94.20654911838791,Tier 1: Top 10% Risk (Immediate Action)
3824,0.9921050780671345,94.08060453400505,Tier 1: Top 10% Risk (Immediate Action)
1987,0.9918978738567005,93.95465994962217,Tier 1: Top 10% Risk (Immediate Action)
241,0.9915772590591192,93.82871536523929,Tier 1: Top 10% Risk (Immediate Action)
4311,0.9915062929535327,93.70277078085643,Tier 1: Top 10% Risk (Immediate Action)
4336,0.9911649614403633,93.57682619647355,Tier 1: Top 10% Risk (Immediate Action)
3925,0.9910013544736088,93.45088161209067,Tier 1: Top 10% Risk (Immediate Action)
1161,0.990845674877066,93.3249370277078,Tier 1: Top 10% Risk (Immediate Action)
16,0.9906465277775226,93.19899244332494,Tier 1: Top 10% Risk (Immediate Action)
3396,0.9905913514895752,93.07304785894208,Tier 1: Top 10% Risk (Immediate Action)
